입주형태통합코드,자산,부채,경상소득
2,28308,14000,6609
2,41942,15930,5132
2,45485,25000,5501
2,100311,38350,6865
2,8150,0,1144
2,18542,15000,5795
2,2200,0,983
2,145250,1000,12872
2,19400,0,4582
2,215800,0,18303
2,36830,0,5236
2,27451,2000,4376
2,16160,8000,5819
2,12566,0,2518
2,140800,0,28338
2,25730,10000,2000
2,24100,9000,4214
2,46150,13000,14024
2,3200,0,1506
2,58130,8500,10987
2,24950,7000,7299
2,22800,1600,10188
2,45132,6000,8516
2,6489,5428,2447
2,7230,6300,3449
2,9800,0,4934
2,7800,1500,2040
2,26926,10550,7055
2,63746,6600,4613
2,124780,30000,7412
2,20100,7000,7852
2,14580,0,2500
2,16950,11500,6590
2,12980,0,3384
2,39620,7000,11401
2,11530,800,3354
2,11362,6222,6771
2,109448,36700,12002
2,86100,25000,801
2,16835,6000,9666
2,2055,1500,5185
2,20480,0,863
2,12050,10600,2293
2,7403,0,6261
2,3200,0,949
2,6568,8000,2279
2,32996,12100,4785
2,20540,1700,4643
2,117286,44000,11278
2,97971,43300,10894
2,294400,33000,13944
2,15600,7150,5867
2,8080,0,3302
2,17473,0,3033
2,37380,8500,2479
2,29100,0,3774
2,78560,20540,4396
2,23900,0,4339
2,10700,9500,2526
2,22620,12215,1465
2,496379,104772,10046
2,4536,0,1705
2,14520,0,6916
3,2226,0,2945
3,2140,0,3338
3,1400,200,2413
3,3014,0,2181
3,2070,0,1970
3,4505,100,2673
3,7232,0,4156
3,6190,3484,3635
3,6400,0,1063
3,6910,0,6051
3,5351,1800,4166
3,10500,1132,1671
3,3400,50,1846
3,57022,15000,19436
3,20144,56,2651
3,181800,92000,20101
3,6050,0,1175
3,32900,24000,7764
3,15834,1475,4258
3,1420,986,2652
3,530,0,1385
3,330,0,953
3,10,0,1201
3,580,0,998
3,390,0,890
3,37916,2000,9393
3,9504,0,5480
3,19356,5400,3415
3,770,1000,3804
3,558,0,4325
3,7800,2300,4852
3,300,0,1177
3,2950,0,777
3,21900,1950,6285
3,20368,0,4625
3,7747,0,5149
3,6300,100,2338
3,2984,5000,4998
3,23338,20140,3811
3,205,0,965
3,9800,0,2186
3,3530,1375,8948
3,124390,0,19182
3,1400,20,1708
3,19738,0,3922
3,10782,6500,2296
3,550,0,1284
3,3050,0,3683
3,20559,6880,4502
3,4650,0,5489
3,1650,0,2946
3,13600,1080,3600
3,1550,300,1744
3,7004,0,6396
3,14678,500,5180
3,5155,100,2646
3,15800,0,1381
3,1250,0,3562
3,5790,500,3042
3,19340,5500,12497
3,20225,0,6279
3,18250,0,3918
3,3990,0,3772
